datetime_utc,timestamp_ms,open,high,low,close,volume_shares,volume_usd,trade_count
2026-07-27 14:30:00+00:00,1785162600000,1135.3,1137.6,1115.8,1126.6,34691.223,39083131.83179999,15148
2026-07-27 14:45:00+00:00,1785163500000,1126.4,1146.6,1126.4,1145.4,20536.324,23522305.509600002,8380
2026-07-27 15:00:00+00:00,1785164400000,1145.2,1149.7,1137.3,1140.4,14735.367,16804212.526800003,7989
2026-07-27 15:15:00+00:00,1785165300000,1140.4,1146.2,1130.8,1132.7,18204.711,20620476.1497,8295
2026-07-27 15:30:00+00:00,1785166200000,1132.8,1139.0,1127.1,1137.3,10695.425,12163906.8525,5877
2026-07-27 15:45:00+00:00,1785167100000,1137.2,1142.7,1132.4,1142.1,8238.965,9409721.9265,5029
2026-07-27 16:00:00+00:00,1785168000000,1141.9,1147.5,1134.7,1136.6,13395.866,15225741.295599999,6821
2026-07-27 16:15:00+00:00,1785168900000,1136.5,1142.7,1130.5,1137.7,12436.481,14148984.4337,6175
2026-07-27 16:30:00+00:00,1785169800000,1137.7,1142.6,1128.2,1128.8,8044.646,9080796.4048,5285
2026-07-27 16:45:00+00:00,1785170700000,1128.5,1129.1,1120.4,1122.2,11189.118,12556428.219600001,5864
2026-07-27 17:00:00+00:00,1785171600000,1122.6,1122.6,1115.0,1120.7,11066.79,12402551.553000001,6614
2026-07-27 17:15:00+00:00,1785172500000,1120.4,1123.3,1114.0,1116.5,12219.876,13643491.554,7319
2026-07-27 17:30:00+00:00,1785173400000,1116.4,1125.3,1116.3,1119.6,5895.42,6600512.232,3594
2026-07-27 17:45:00+00:00,1785174300000,1119.8,1129.8,1118.0,1129.2,3859.579,4358236.6068,2343
2026-07-27 18:00:00+00:00,1785175200000,1129.5,1130.7,1124.8,1125.3,2590.81,2915438.493,2806
2026-07-27 18:15:00+00:00,1785176100000,1125.1,1128.8,1120.7,1127.7,2952.6,3329647.02,2412
2026-07-27 18:30:00+00:00,1785177000000,1127.7,1127.7,1117.2,1125.4,3620.754,4074796.5516000004,2658
2026-07-27 18:45:00+00:00,1785177900000,1125.6,1133.3,1122.5,1132.8,6350.686,7194057.100799999,3160
2026-07-27 19:00:00+00:00,1785178800000,1132.7,1139.8,1130.9,1135.8,4675.23,5310126.233999999,3145
2026-07-27 19:15:00+00:00,1785179700000,1136.0,1141.9,1135.3,1141.7,5621.401,6417953.5217,2750
2026-07-27 19:30:00+00:00,1785180600000,1142.0,1142.6,1133.7,1134.0,3295.377,3736957.518,2169
2026-07-27 19:45:00+00:00,1785181500000,1133.6,1138.5,1130.7,1138.1,4741.228,5395991.5868,3074
2026-07-27 20:00:00+00:00,1785182400000,1138.3,1141.5,1135.6,1139.5,2094.564,2386755.678,1787
2026-07-27 20:15:00+00:00,1785183300000,1138.7,1142.7,1137.4,1141.8,1874.247,2140015.2246,1653
2026-07-27 20:30:00+00:00,1785184200000,1141.7,1144.0,1140.3,1140.3,414.72,472905.216,713
2026-07-27 20:45:00+00:00,1785185100000,1140.3,1142.2,1139.6,1141.5,1182.338,1349638.827,930
2026-07-27 21:00:00+00:00,1785186000000,1141.6,1143.2,1140.2,1140.3,1481.075,1688869.8225,1125
2026-07-27 21:15:00+00:00,1785186900000,1140.3,1142.9,1139.1,1141.2,777.396,887164.3152,653
